==============================================================================================================================================================================================
 Package                                               Architecture                 Version                                                      Repository                              Size
==============================================================================================================================================================================================
Installing:
 libwbclient                                           x86_64                       4.19.4-9.el8_10                                              rhel08-baseos                          130 k
 libwebp                                               x86_64                       1.0.0-11.el8_10                                              rhel08-appstream                       274 k
 libwebp-devel                                         x86_64                       1.0.0-11.el8_10                                              rhel08-appstream                        38 k
 libxml2                                               x86_64                       2.9.7-21.el8_10.3                                            rhel08-baseos                          697 k
 libxml2-devel                                         x86_64                       2.9.7-21.el8_10.3                                            rhel08-appstream                       1.0 M
 libxslt                                               x86_64                       1.1.32-6.2.el8_10                                            rhel08-baseos                          250 k
 linux-firmware                                        noarch                       20250626-131.gitb05fabcd.el8_10                              rhel08-baseos                          529 M
 lz4-libs                                              x86_64                       1.8.3-5.el8_10                                               rhel08-baseos                           66 k
 motif                                                 x86_64                       2.3.4-23.el8_10                                              rhel08-appstream                       1.5 M
 nfs-utils                                             x86_64                       1:2.3.3-64.el8_10                                            rhel08-baseos                          515 k
 nvidia-container-toolkit                              x86_64                       1.17.8-1                                                     cuda                                   1.2 M
 nvidia-container-toolkit-base                         x86_64                       1.17.8-1                                                     cuda                                   5.8 M
 nvidia-driver                                         x86_64                       3:580.65.06-1.el8                                            cuda                                   4.7 M
 nvidia-driver-cuda                                    x86_64                       3:580.65.06-1.el8                                            cuda                                   508 k
 nvidia-driver-cuda-libs                               x86_64                       3:580.65.06-1.el8                                            cuda                                    63 M
 nvidia-driver-libs                                    x86_64                       3:580.65.06-1.el8                                            cuda                                   152 M
 nvidia-fs                                             x86_64                       2.25.7-1                                                     cuda                                   7.3 k
 nvidia-fs-dkms                                        x86_64                       2.25.7-1                                                     cuda                                    84 k
 nvidia-gds                                            x86_64                       12.9.1-1                                                     cuda                                   7.3 k
 nvidia-gds-12-9                                       x86_64                       12.9.1-1                                                     cuda                                   7.4 k
 nvidia-kmod-common                                    noarch                       3:580.65.06-1.el8                                            cuda                                    72 M
 nvidia-libXNVCtrl                                     x86_64                       3:580.65.06-1.el8                                            cuda                                    24 k
 nvidia-libXNVCtrl-devel                               x86_64                       3:580.65.06-1.el8                                            cuda                                    54 k
 nvidia-modprobe                                       x86_64                       3:580.65.06-1.el8                                            cuda                                    38 k
 nvidia-persistenced                                   x86_64                       3:580.65.06-1.el8                                            cuda                                    39 k
 nvidia-settings                                       x86_64                       3:580.65.06-1.el8                                            cuda                                   860 k
 nvidia-xconfig                                        x86_64                       3:580.65.06-1.el8                                            cuda                                   105 k
 pam                                                   x86_64                       1.3.1-37.el8_10                                              rhel08-baseos                          748 k
 pam-devel                                             x86_64                       1.3.1-37.el8_10                                              rhel08-baseos                          212 k
 perl                                                  x86_64                       4:5.26.3-423.el8_10                                          rhel08-appstream                        73 k
 perl-Attribute-Handlers                               noarch                       0.99-423.el8_10                                              rhel08-appstream                        89 k
 perl-Devel-Peek                                       x86_64                       1.26-423.el8_10                                              rhel08-appstream                        94 k
 perl-Devel-SelfStubber                                noarch                       1.06-423.el8_10                                              rhel08-appstream                        76 k
 perl-Errno                                            x86_64                       1.28-423.el8_10                                              rhel08-baseos                           77 k
 perl-ExtUtils-Embed                                   noarch                       1.34-423.el8_10                                              rhel08-appstream                        80 k
 perl-ExtUtils-Miniperl                                noarch                       1.06-423.el8_10                                              rhel08-appstream                        77 k
 perl-Git                                              noarch                       2.43.7-1.el8_10                                              rhel08-appstream                        79 k
 perl-IO                                               x86_64                       1.38-423.el8_10                                              rhel08-baseos                          143 k
 perl-IO-Zlib                                          noarch                       1:1.10-423.el8_10                                            rhel08-baseos                           81 k
 perl-Locale-Maketext-Simple                           noarch                       1:0.21-423.el8_10                                            rhel08-appstream                        79 k
 perl-Math-Complex                                     noarch                       1.59-423.el8_10                                              rhel08-baseos                          109 k
 perl-Memoize                                          noarch                       1.03-423.el8_10                                              rhel08-appstream                       119 k
 perl-Module-Loaded                                    noarch                       1:0.08-423.el8_10                                            rhel08-appstream                        75 k
 perl-Net-Ping                                         noarch                       2.55-423.el8_10                                              rhel08-appstream                       102 k
 perl-Pod-Html                                         noarch                       1.22.02-423.el8_10                                           rhel08-appstream                        88 k
 perl-SelfLoader                                       noarch                       1.23-423.el8_10                                              rhel08-appstream                        84 k
 perl-Test                                             noarch                       1.30-423.el8_10                                              rhel08-appstream                        91 k
 perl-Time-Piece                                       x86_64                       1.31-423.el8_10                                              rhel08-appstream                        99 k
 perl-devel                                            x86_64                       4:5.26.3-423.el8_10                                          rhel08-appstream                       600 k
 perl-interpreter                                      x86_64                       4:5.26.3-423.el8_10                                          rhel08-baseos                          6.3 M
 perl-libnetcfg                                        noarch                       4:5.26.3-423.el8_10                                          rhel08-appstream                        78 k
 perl-libs                                             x86_64                       4:5.26.3-423.el8_10                                          rhel08-baseos                          1.6 M
 perl-macros                                           x86_64                       4:5.26.3-423.el8_10                                          rhel08-baseos                           73 k
 perl-open                                             noarch                       1.11-423.el8_10                                              rhel08-appstream                        78 k
 perl-utils                                            noarch                       5.26.3-423.el8_10                                            rhel08-appstream                       129 k
 python3-audit                                         x86_64                       3.1.2-1.el8_10.1                                             rhel08-baseos                           88 k
 python3-libsemanage                                   x86_64                       2.9-12.el8_10                                                rhel08-baseos                          129 k
 python3-libxml2                                       x86_64                       2.9.7-21.el8_10.3                                            rhel08-baseos                          238 k
 python3-perf                                          x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           11 M
 python3-requests                                      noarch                       2.20.0-6.el8_10                                              rhel08-baseos                          125 k
 python3-sssdconfig                                    noarch                       2.9.4-5.el8_10.2                                             rhel08-baseos                          155 k
 python3-unbound                                       x86_64                       1.16.2-5.9.el8_10                                            rhel08-appstream                       129 k
 rcs                                                   x86_64                       5.10.1-12.el8                                                epel                                   255 k
 samba-client-libs                                     x86_64                       4.19.4-9.el8_10                                              rhel08-baseos                          5.0 M
 samba-common                                          noarch                       4.19.4-9.el8_10                                              rhel08-baseos                          234 k
 samba-common-libs                                     x86_64                       4.19.4-9.el8_10                                              rhel08-baseos                          183 k
 sqlite                                                x86_64                       3.26.0-20.el8_10                                             rhel08-baseos                          668 k
 sqlite-devel                                          x86_64                       3.26.0-20.el8_10                                             rhel08-baseos                          164 k
 sqlite-libs                                           x86_64                       3.26.0-20.el8_10                                             rhel08-baseos                          580 k
 sssd                                                  x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          120 k
 sssd-ad                                               x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          315 k
 sssd-client                                           x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          246 k
 sssd-common                                           x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          1.7 M
 sssd-common-pac                                       x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          197 k
 sssd-ipa                                              x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          380 k
 sssd-krb5                                             x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          166 k
 sssd-krb5-common                                      x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          207 k
 sssd-ldap                                             x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          253 k
 sssd-nfs-idmap                                        x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          131 k
 sssd-proxy                                            x86_64                       2.9.4-5.el8_10.2                                             rhel08-baseos                          165 k
 sudo                                                  x86_64                       1.9.5p2-1.el8_10.1                                           rhel08-baseos                          1.0 M
 tar                                                   x86_64                       2:1.30-10.el8_10                                             rhel08-baseos                          839 k
 unbound-libs                                          x86_64                       1.16.2-5.9.el8_10                                            rhel08-appstream                       577 k
 unzip                                                 x86_64                       6.0-48.el8_10                                                rhel08-baseos                          196 k
 vastnfs                                               x86_64                       4.0.34-kernel_4.18.0_553.69.1.el8_10                         icds_stuff                             1.2 M
 webkit2gtk3                                           x86_64                       2.48.3-1.el8_10                                              rhel08-appstream                        26 M
 webkit2gtk3-jsc                                       x86_64                       2.48.3-1.el8_10                                              rhel08-appstream                       7.7 M
 xorg-x11-nvidia                                       x86_64                       3:580.65.06-1.el8                                            cuda                                   2.2 M
 xorg-x11-server-Xorg                                  x86_64                       1.20.11-26.el8_10                                            rhel08-appstream                       1.5 M
 xorg-x11-server-Xvfb                                  x86_64                       1.20.11-26.el8_10                                            rhel08-appstream                       875 k
 xorg-x11-server-common                                x86_64                       1.20.11-26.el8_10                                            rhel08-appstream                        46 k
Installing dependencies:
 cvmfs-config-osg                                      noarch                       2.5-3.osg24.el8                                              ligo_osg                                13 k
     replacing  cvmfs-config-default.noarch 2.0-1
 cvmfs-fuse3                                           x86_64                       2.13.2-1.el8                                                 cvmfs                                   14 M
 grub2-tools-efi                                       x86_64                       1:2.02-167.el8_10                                            rhel08-baseos                          487 k
 grub2-tools-extra                                     x86_64                       1:2.02-167.el8_10                                            rhel08-baseos                          1.1 M
 kernel-core                                           x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           44 M
 kernel-modules                                        x86_64                       4.18.0-553.69.1.el8_10                                       rhel08-baseos                           36 M
Skipping packages with broken dependencies:
 nvidia-fs                                             x86_64                       2.26.6-1                                                     cuda                                   7.3 k
 nvidia-fs-dkms                                        x86_64                       2.26.6-1                                                     cuda                                    84 k
 nvidia-gds-13-0                                       x86_64                       13.0.0-1                                                     cuda                                   7.4 k
 nvidia-gds                                            x86_64                       13.0.0-1                                                     cuda                                   7.3 k

Transaction Summary
==============================================================================================================================================================================================
Install    9 Packages
Upgrade  156 Packages
Skip       4 Packages

Total download size: 1.4 G
Is this ok [y/N]: n
Operation aborted.
